================================
   VIRUS SIMULATION LOG FILE    
================================

Max Infected:  362708 Day 30
All healthy in day: 105

 Day  Healthy  Infected    Dead
   0   999000      1000       0
   1   997609      2381      10
   2   995065      4903      32
   3   991038      8878      84
   4   985407     14434     159
   5   978204     21487     309
   6   969321     30170     509
   7   958544     40646     810
   8   946059     52707    1234
   9   931956     66293    1751
  10   916291     81319    2390
  11   898922     97918    3160
  12   879977    115881    4142
  13   859614    135076    5310
  14   837905    155453    6642
  15   816031    175793    8176
  16   793334    196714    9952
  17   770866    217275   11859
  18   748932    237093   13975
  19   727457    256285   16258
  20   707061    274207   18732
  21   687562    291125   21313
  22   669889    305955   24156
  23   653377    319558   27065
  24   638706    331225   30069
  25   625496    341243   33261
  26   614149    349327   36524
  27   604746    355400   39854
  28   597400    359406   43194
  29   591397    361969   46634
  30   587314    362708   49978
  31   585284    361321   53395
  32   584740    358495   56765
  33   585850    354091   60059
  34   588752    347907   63341
  35   592413    340998   66589
  36   597643    332618   69739
  37   603657    323479   72864
  38   610785    313427   75788
  39   618918    302413   78669
  40   627924    290646   81430
  41   637363    278561   84076
  42   647512    265953   86535
  43   657596    253452   88952
  44   668386    240302   91312
  45   679162    227338   93500
  46   690045    214436   95519
  47   701001    201580   97419
  48   711854    188865   99281
  49   722509    176487  101004
  50   733528    163846  102626
  51   744290    151610  104100
  52   754791    139815  105394
  53   764967    128414  106619
  54   774596    117623  107781
  55   783729    107417  108854
  56   792503     97648  109849
  57   800797     88478  110725
  58   808528     79947  111525
  59   815825     71985  112190
  60   822616     64582  112802
  61   828863     57775  113362
  62   834587     51610  113803
  63   839887     45884  114229
  64   844772     40580  114648
  65   848978     36014  115008
  66   852894     31788  115318
  67   856474     27948  115578
  68   859777     24406  115817
  69   862690     21267  116043
  70   865359     18422  116219
  71   867673     15949  116378
  72   869729     13773  116498
  73   871581     11812  116607
  74   873149     10167  116684
  75   874626      8604  116770
  76   875906      7252  116842
  77   877040      6066  116894
  78   878017      5038  116945
  79   878851      4160  116989
  80   879522      3450  117028
  81   880088      2853  117059
  82   880546      2372  117082
  83   880917      1981  117102
  84   881244      1641  117115
  85   881522      1341  117137
  86   881761      1090  117149
  87   881949       891  117160
  88   882112       718  117170
  89   882244       580  117176
  90   882359       458  117183
  91   882456       360  117184
  92   882541       270  117189
  93   882602       208  117190
  94   882652       157  117191
  95   882699       109  117192
  96   882732        76  117192
  97   882761        45  117194
  98   882773        32  117195
  99   882781        24  117195
 100   882789        16  117195
 101   882795         9  117196
 102   882799         5  117196
 103   882802         2  117196
 104   882803         1  117196
 105   882804         0  117196
 106   882804         0  117196
 107   882804         0  117196
 108   882804         0  117196
 109   882804         0  117196
 110   882804         0  117196
 111   882804         0  117196
 112   882804         0  117196
 113   882804         0  117196
 114   882804         0  117196
 115   882804         0  117196
 116   882804         0  117196
 117   882804         0  117196
 118   882804         0  117196
 119   882804         0  117196
 120   882804         0  117196
